2.99885,1.649,0.206
3.00895,1.985,0.226
3.01905,1.753,0.213
3.02915,1.546,0.200
3.03925,1.314,0.184
3.04935,1.830,0.217
3.05945,1.366,0.188
3.06955,1.727,0.211
3.07965,1.778,0.214
3.08975,1.804,0.216
3.09990,1.443,0.193
3.11000,1.701,0.209
3.12010,1.701,0.209
3.13020,1.624,0.205
3.14030,1.624,0.205
3.15040,1.392,0.189
3.16050,1.624,0.205
3.17060,1.366,0.188
3.18070,1.649,0.206
3.19080,1.856,0.219
3.20090,1.856,0.219
3.21100,1.546,0.200
3.22110,1.701,0.209
3.23120,1.237,0.179
3.24130,1.649,0.206
3.25145,1.314,0.184
3.26155,1.495,0.196
3.27165,1.753,0.213
3.28175,1.753,0.213
3.29185,1.572,0.201
3.30195,2.010,0.228
3.31205,1.418,0.191
3.32215,1.495,0.196
3.33225,1.675,0.208
3.34235,1.521,0.198
3.35245,1.727,0.211
3.36255,1.727,0.211
3.37265,1.933,0.223
3.38275,1.933,0.223
3.39290,1.521,0.198
3.40300,1.237,0.179
3.41310,2.036,0.229
3.42320,1.701,0.209
3.43330,1.340,0.186
3.44340,2.062,0.231
3.45350,2.062,0.231
3.46360,1.366,0.188
3.47370,1.392,0.189
3.48380,1.727,0.211
3.49390,1.598,0.203
3.50400,1.546,0.200
3.51410,1.108,0.169
3.52420,1.727,0.211
3.53435,1.598,0.203
3.54445,2.010,0.228
3.55455,1.675,0.208
3.56465,1.778,0.214
3.57475,2.242,0.240
3.58485,1.804,0.216
3.59495,2.088,0.232
3.60505,1.959,0.225
3.61515,1.675,0.208
3.62525,1.933,0.223
3.63535,2.062,0.231
3.64545,1.624,0.205
3.65555,2.216,0.239
3.66565,1.701,0.209
3.67575,2.474,0.253
3.68590,1.598,0.203
3.69600,1.572,0.201
3.70610,2.088,0.232
3.71620,2.242,0.240
3.72630,2.036,0.229
3.73640,2.139,0.235
3.74650,1.907,0.222
3.75660,2.216,0.239
3.76670,2.500,0.254
3.77680,2.088,0.232
3.78690,2.526,0.255
3.79700,1.753,0.213
3.80710,1.985,0.226
3.81720,2.500,0.254
3.82735,2.345,0.246
3.83745,2.139,0.235
3.84755,2.603,0.259
3.85765,1.933,0.223
3.86775,2.139,0.235
3.87785,2.500,0.254
3.88795,2.294,0.243
3.89805,2.345,0.246
3.90815,2.088,0.232
3.91825,2.165,0.236
3.92835,2.397,0.249
3.93845,2.320,0.245
3.94855,2.758,0.267
3.95865,2.397,0.249
3.96875,2.500,0.254
3.97890,2.577,0.258
3.98900,2.629,0.260
3.99910,2.010,0.228
4.00920,1.572,0.201
4.01930,17.088,0.664
4.02940,118.892,1.750
4.03950,167.345,2.077
4.04960,48.428,1.117
4.05970,5.567,0.379
4.06980,4.536,0.342
4.07990,5.851,0.388
4.09000,6.392,0.406
4.10010,5.851,0.388
4.11020,6.495,0.409
4.12035,8.170,0.459
4.13045,9.665,0.499
4.14055,10.696,0.525
4.15065,11.546,0.546
4.16075,14.098,0.603
4.17085,16.907,0.660
4.18095,19.871,0.716
4.19105,21.443,0.743
4.20115,25.722,0.814
4.21125,27.423,0.841
4.22135,33.686,0.932
4.23145,36.572,0.971
4.24155,44.536,1.071
4.25165,57.938,1.222
4.26180,78.660,1.424
4.27190,104.948,1.645
4.28200,136.366,1.875
4.29210,157.784,2.017
4.30220,189.227,2.208
4.31230,202.655,2.285
4.32240,226.031,2.414
4.33250,241.804,2.496
4.34260,264.639,2.612
4.35270,279.098,2.682
4.36280,294.897,2.757
4.37290,316.727,2.857
4.38300,339.227,2.957
4.39310,357.784,3.037
4.40320,403.144,3.223
4.41335,466.418,3.467
4.42345,596.546,3.921
4.43355,892.320,4.796
4.44365,1616.443,6.455
4.45375,5282.139,11.668
4.46385,12232.449,17.756
4.47395,12820.232,18.177
4.48405,6854.845,13.292
4.49415,1701.418,6.622
4.50425,809.897,4.569
4.51435,619.201,3.995
4.52445,504.381,3.605
4.53455,448.505,3.400
4.54465,394.794,3.190
4.55480,364.820,3.066
4.56490,346.392,2.988
4.57500,330.438,2.918
4.58510,310.103,2.827
4.59520,297.113,2.767
4.60530,277.784,2.676
4.61540,264.278,2.610
4.62550,245.541,2.516
4.63560,212.552,2.341
4.64570,182.577,2.169
4.65580,153.892,1.992
4.66590,133.943,1.858
4.67600,118.711,1.749
4.68610,109.820,1.682
4.69625,104.175,1.639
4.70635,94.046,1.557
4.71645,88.144,1.507
4.72655,79.330,1.430
4.73665,75.155,1.392
4.74675,67.139,1.315
4.75685,62.577,1.270
4.76695,57.577,1.218
4.77705,54.330,1.183
4.78715,48.041,1.113
4.79725,43.634,1.060
4.80735,38.222,0.993
4.81745,33.737,0.932
4.82755,30.232,0.883
4.83765,26.959,0.834
4.84780,24.098,0.788
4.85790,21.392,0.743
4.86800,18.557,0.692
4.87810,17.216,0.666
4.88820,15.747,0.637
4.89830,12.320,0.563
4.90840,11.495,0.544
4.91850,10.026,0.508
4.92860,9.149,0.486
4.93870,8.015,0.455
4.94880,8.144,0.458
4.95890,6.108,0.397
4.96900,5.335,0.371
4.97910,5.361,0.372
4.98925,4.845,0.353
4.99935,3.814,0.314
5.00945,4.072,0.324
5.01955,3.119,0.284
5.02965,3.170,0.286
5.03975,3.093,0.282
5.04985,3.170,0.286
5.05995,2.216,0.239
5.07005,2.526,0.255
5.08015,2.036,0.229
